match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1978-06-06-argentina-france,1978-06-06,Argentina,France,2.0,1.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-06-italy-hungary,1978-06-06,Italy,Hungary,3.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-06-poland-tunisia,1978-06-06,Poland,Tunisia,1.0,0.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-07-austria-sweden,1978-06-07,Austria,Sweden,1.0,0.0,Austria,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-07-brazil-spain,1978-06-07,Brazil,Spain,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-07-scotland-iran,1978-06-07,Scotland,Iran,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-07-netherlands-peru,1978-06-07,Netherlands,Peru,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-10-italy-argentina,1978-06-10,Italy,Argentina,1.0,0.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-10-france-hungary,1978-06-10,France,Hungary,3.0,1.0,France,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-10-poland-mexico,1978-06-10,Poland,Mexico,3.0,1.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-11-brazil-austria,1978-06-11,Brazil,Austria,1.0,0.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-11-peru-iran,1978-06-11,Peru,Iran,4.0,1.0,Peru,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-11-scotland-netherlands,1978-06-11,Scotland,Netherlands,3.0,2.0,Scotland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-11-spain-sweden,1978-06-11,Spain,Sweden,1.0,0.0,Spain,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-14-argentina-poland,1978-06-14,Argentina,Poland,2.0,0.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
