match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1950-07-16-spain-sweden-fifa-world-cup,1950-07-16,Spain,Sweden,1.0,3.0,Sweden,False,FIFA World Cup,,São Paulo,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-07-16-sweden-spain,1950-07-16,Sweden,Spain,3.0,1.0,Sweden,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-16-czechoslovakia-uruguay-fifa-world-cup,1954-06-16,Czechoslovakia,Uruguay,0.0,2.0,Uruguay,False,FIFA World Cup,,Bern,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-16-uruguay-czechoslovakia,1954-06-16,Uruguay,Czechoslovakia,2.0,0.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-16-france-yugoslavia-fifa-world-cup,1954-06-16,France,Yugoslavia,0.0,1.0,Yugoslavia,False,FIFA World Cup,,Lausanne,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-16-yugoslavia-france,1954-06-16,Yugoslavia,France,1.0,0.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-19-scotland-uruguay-fifa-world-cup,1954-06-19,Scotland,Uruguay,0.0,7.0,Uruguay,False,FIFA World Cup,,Basel,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-19-uruguay-scotland,1954-06-19,Uruguay,Scotland,7.0,0.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-20-belgium-italy-fifa-world-cup,1954-06-20,Belgium,Italy,1.0,4.0,Italy,False,FIFA World Cup,,Lugano,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-20-italy-belgium,1954-06-20,Italy,Belgium,4.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-20-germany-hungary-fifa-world-cup,1954-06-20,Germany,Hungary,3.0,8.0,Hungary,False,FIFA World Cup,,Basel,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-20-hungary-germany,1954-06-20,Hungary,Germany,8.0,3.0,Hungary,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-20-south-korea-turkey-fifa-world-cup,1954-06-20,South Korea,Turkey,0.0,7.0,Turkey,False,FIFA World Cup,,Geneva,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-20-turkey-south-korea,1954-06-20,Turkey,South Korea,7.0,0.0,Turkey,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-26-england-uruguay-fifa-world-cup,1954-06-26,England,Uruguay,2.0,4.0,Uruguay,False,FIFA World Cup,,Basel,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-26-uruguay-england,1954-06-26,Uruguay,England,4.0,2.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-27-brazil-hungary-fifa-world-cup,1954-06-27,Brazil,Hungary,2.0,4.0,Hungary,False,FIFA World Cup,,Bern,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-27-hungary-brazil,1954-06-27,Hungary,Brazil,4.0,2.0,Hungary,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1954-06-30-austria-germany-fifa-world-cup,1954-06-30,Austria,Germany,1.0,6.0,Germany,False,FIFA World Cup,,Basel,Switzerland,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1954-06-30-germany-austria,1954-06-30,Germany,Austria,6.0,1.0,Germany,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1958-06-08-austria-brazil-fifa-world-cup,1958-06-08,Austria,Brazil,0.0,3.0,Brazil,False,FIFA World Cup,,Uddevalla,Sweden,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1958-06-08-brazil-austria,1958-06-08,Brazil,Austria,3.0,0.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1958-06-08-czechoslovakia-northern-ireland-fifa-world-cup,1958-06-08,Czechoslovakia,Northern Ireland,0.0,1.0,Northern Ireland,False,FIFA World Cup,,Halmstad,Sweden,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1958-06-08-northern-ireland-czechoslovakia,1958-06-08,Northern Ireland,Czechoslovakia,1.0,0.0,Northern Ireland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1958-06-11-france-yugoslavia-fifa-world-cup,1958-06-11,France,Yugoslavia,2.0,3.0,Yugoslavia,False,FIFA World Cup,,Västerås,Sweden,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1958-06-11-yugoslavia-france,1958-06-11,Yugoslavia,France,3.0,2.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1958-06-15-argentina-czechoslovakia-fifa-world-cup,1958-06-15,Argentina,Czechoslovakia,1.0,6.0,Czechoslovakia,False,FIFA World Cup,,Helsingborg,Sweden,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1958-06-15-czechoslovakia-argentina,1958-06-15,Czechoslovakia,Argentina,6.0,1.0,Czechoslovakia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1958-06-17-czechoslovakia-northern-ireland-fifa-world-cup,1958-06-17,Czechoslovakia,Northern Ireland,1.0,2.0,Northern Ireland,False,FIFA World Cup,,Malmö,Sweden,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1958-06-17-northern-ireland-czechoslovakia,1958-06-17,Northern Ireland,Czechoslovakia,2.0,1.0,Northern Ireland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1958-06-17-hungary-wales-fifa-world-cup,1958-06-17,Hungary,Wales,1.0,2.0,Wales,False,FIFA World Cup,,Solna,Sweden,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1958-06-17-wales-hungary,1958-06-17,Wales,Hungary,2.0,1.0,Wales,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1958-06-29-sweden-brazil-fifa-world-cup,1958-06-29,Sweden,Brazil,2.0,5.0,Brazil,False,FIFA World Cup,,Solna,Sweden,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1958-06-29-brazil-sweden,1958-06-29,Brazil,Sweden,5.0,2.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1962-05-30-colombia-uruguay-fifa-world-cup,1962-05-30,Colombia,Uruguay,1.0,2.0,Uruguay,False,FIFA World Cup,,Arica,Chile,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1962-05-30-uruguay-colombia,1962-05-30,Uruguay,Colombia,2.0,1.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
