simulation_id,finalist_1,finalist_2,finalist_pair_key,champion,runner_up,semifinalists,fallback_mapping_used
246,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
247,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
248,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
249,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
250,Spain,England,England vs Spain,Spain,England,,True
251,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
252,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
253,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
254,Spain,England,England vs Spain,England,Spain,,True
255,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
256,Spain,England,England vs Spain,England,Spain,,True
257,Spain,England,England vs Spain,Spain,England,,True
258,Spain,England,England vs Spain,Spain,England,,True
259,Spain,England,England vs Spain,England,Spain,,True
260,Spain,England,England vs Spain,England,Spain,,True
261,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
262,Spain,England,England vs Spain,England,Spain,,True
263,Spain,England,England vs Spain,Spain,England,,True
264,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
265,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
266,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
267,Spain,England,England vs Spain,England,Spain,,True
268,Spain,England,England vs Spain,Spain,England,,True
269,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
270,Spain,England,England vs Spain,England,Spain,,True
271,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
272,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
273,Spain,England,England vs Spain,Spain,England,,True
274,Spain,England,England vs Spain,Spain,England,,True
275,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
276,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
277,Spain,England,England vs Spain,England,Spain,,True
278,Spain,England,England vs Spain,Spain,England,,True
279,Spain,England,England vs Spain,Spain,England,,True
280,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
281,Spain,England,England vs Spain,Spain,England,,True
282,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
283,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
284,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
285,Spain,England,England vs Spain,Spain,England,,True
286,Spain,England,England vs Spain,England,Spain,,True
287,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
288,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
289,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
290,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
291,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
292,Spain,England,England vs Spain,Spain,England,,True
293,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
294,Spain,England,England vs Spain,Spain,England,,True
295,Spain,England,England vs Spain,Spain,England,,True
296,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
297,Spain,England,England vs Spain,England,Spain,,True
298,Spain,England,England vs Spain,Spain,England,,True
299,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
300,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
301,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
302,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
303,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
304,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
305,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
306,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
307,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
308,Spain,England,England vs Spain,England,Spain,,True
309,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
310,Spain,England,England vs Spain,Spain,England,,True
311,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
312,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
313,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
314,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
315,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
316,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
317,Spain,England,England vs Spain,Spain,England,,True
318,Spain,England,England vs Spain,Spain,England,,True
319,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
320,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
321,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
322,Spain,England,England vs Spain,Spain,England,,True
323,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
324,Spain,England,England vs Spain,Spain,England,,True
325,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
326,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
327,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
328,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
329,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
330,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
331,Spain,England,England vs Spain,England,Spain,,True
332,Spain,England,England vs Spain,Spain,England,,True
333,Spain,England,England vs Spain,England,Spain,,True
334,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
335,Spain,England,England vs Spain,Spain,England,,True
336,Spain,England,England vs Spain,England,Spain,,True
337,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
338,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
339,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
340,Spain,England,England vs Spain,Spain,England,,True
341,Spain,England,England vs Spain,Spain,England,,True
342,Spain,England,England vs Spain,Spain,England,,True
343,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
344,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
345,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
346,Spain,England,England vs Spain,England,Spain,,True
347,Spain,England,England vs Spain,Spain,England,,True
348,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
349,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
350,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
351,Spain,England,England vs Spain,Spain,England,,True
352,Spain,England,England vs Spain,England,Spain,,True
353,Spain,England,England vs Spain,England,Spain,,True
354,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
355,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
356,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
357,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
358,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
359,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
360,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
361,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
362,Spain,England,England vs Spain,England,Spain,,True
363,Spain,England,England vs Spain,Spain,England,,True
364,Spain,England,England vs Spain,Spain,England,,True
365,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
366,Spain,England,England vs Spain,Spain,England,,True
367,Spain,England,England vs Spain,Spain,England,,True
368,Spain,England,England vs Spain,England,Spain,,True
369,Spain,England,England vs Spain,Spain,England,,True
370,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
371,Spain,England,England vs Spain,Spain,England,,True
372,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
373,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
374,Spain,England,England vs Spain,Spain,England,,True
375,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
376,Spain,England,England vs Spain,Spain,England,,True
377,Spain,England,England vs Spain,Spain,England,,True
378,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
379,Spain,England,England vs Spain,England,Spain,,True
380,Spain,England,England vs Spain,Spain,England,,True
381,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
382,Spain,England,England vs Spain,Spain,England,,True
383,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
384,Spain,England,England vs Spain,Spain,England,,True
385,Spain,England,England vs Spain,England,Spain,,True
