group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
STAGE,125,South Korea,772,2,0,0,2,0,2,-2,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,126,Turkey,803,1,0,0,1,0,2,-2,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,127,Senegal,804,2,0,0,2,3,6,-3,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,128,Jordan,8049,2,0,0,2,2,5,-3,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,129,Iraq,8062,1,0,0,1,1,4,-3,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,130,Panama,1836,2,0,0,2,0,3,-3,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,131,Tunisia,802,1,0,0,1,1,5,-4,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,132,Panama,1836,3,0,0,3,0,4,-4,0,"L,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,133,Scotland,8873,2,0,0,2,0,4,-4,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,134,Jordan,8049,3,0,0,3,3,8,-5,0,"L,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,135,Haiti,836,2,0,0,2,2,7,-5,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,136,Haiti,836,3,0,0,3,2,8,-6,0,"L,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,137,New Zealand,783,2,0,0,2,2,8,-6,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,138,Tunisia,802,2,0,0,2,1,7,-6,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,139,Uzbekistan,8070,2,0,0,2,1,8,-7,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,140,Qatar,8030,2,0,0,2,1,9,-8,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,141,Iraq,8062,2,0,0,2,0,8,-8,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,142,Uzbekistan,8070,3,0,0,3,2,11,-9,0,"L,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,143,Tunisia,802,3,0,0,3,2,12,-10,0,"L,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,144,Iraq,8062,3,0,0,3,1,12,-11,0,"L,L,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
