group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
GROUP_STAGE,1,Japan,766,2,1,1,0,6,2,4,4,,1,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,2,Egypt,825,2,1,1,0,4,2,2,4,,2,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,3,Morocco,815,2,1,1,0,2,1,1,4,,3,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,4,Belgium,805,1,1,0,0,5,1,4,3,,4,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,5,France,773,1,1,0,0,4,1,3,3,,5,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,6,Norway,8872,1,1,0,0,4,1,3,3,,6,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,7,Mexico,769,1,1,0,0,3,0,3,3,,7,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,8,Brazil,764,1,1,0,0,3,0,3,3,,8,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,9,Netherlands,8601,1,1,0,0,3,1,2,3,,9,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,10,Argentina,762,1,1,0,0,3,1,2,3,,10,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,11,Colombia,818,1,1,0,0,3,1,2,3,,11,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,12,England,770,1,1,0,0,2,0,2,3,,12,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,13,Ivory Coast,1935,2,1,0,1,3,2,1,3,,13,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,14,Scotland,8873,1,1,0,0,1,0,1,3,,14,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,15,Spain,760,1,1,0,0,1,0,1,3,,15,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,16,Croatia,799,2,1,0,1,3,4,-1,3,,16,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,17,Paraguay,761,2,1,0,1,2,4,-2,3,,17,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,18,Algeria,778,2,1,0,1,2,4,-2,3,,18,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,19,Cape Verde Islands,1930,2,0,2,0,2,2,0,2,,19,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,20,Iran,840,2,0,2,0,1,1,0,2,,20,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,21,New Zealand,783,1,0,1,0,2,2,0,1,,21,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
