match_id,stage,team_a,team_b,result_label,simulation_id,match_slot,winner,loser,probability_source
,Round of 16,Argentina,England,team_a_win,4,R16_M6,Argentina,England,elo_fallback
,Round of 16,Cabo Verde,Germany,team_a_loss,4,R16_M7,Germany,Cabo Verde,elo_fallback
,Round of 16,Australia,Egypt,team_a_loss,4,R16_M8,Egypt,Australia,elo_fallback
,Quarterfinal,Switzerland,Belgium,team_a_loss,4,QF_M1,Belgium,Switzerland,elo_fallback
,Quarterfinal,France,Canada,team_a_win,4,QF_M2,France,Canada,elo_fallback
,Quarterfinal,Spain,Argentina,team_a_loss,4,QF_M3,Argentina,Spain,elo_fallback
,Quarterfinal,Germany,Egypt,team_a_win,4,QF_M4,Germany,Egypt,elo_fallback
,Semifinal,Belgium,France,team_a_win,4,SF_M1,Belgium,France,elo_fallback
,Semifinal,Argentina,Germany,team_a_loss,4,SF_M2,Germany,Argentina,elo_fallback
,Final,Belgium,Germany,team_a_loss,4,FINAL_M1,Germany,Belgium,elo_fallback
1.0,Group Stage,Mexico,South Africa,team_a_win,5,,,,
4.0,Group Stage,United States,Paraguay,team_a_win,5,,,,
5.0,Group Stage,Qatar,Switzerland,team_a_loss,5,,,,
6.0,Group Stage,Brazil,Morocco,team_a_win,5,,,,
7.0,Group Stage,Haiti,Scotland,draw,5,,,,
9.0,Group Stage,Germany,Curaçao,team_a_win,5,,,,
10.0,Group Stage,Netherlands,Japan,team_a_win,5,,,,
11.0,Group Stage,Ivory Coast,Ecuador,draw,5,,,,
14.0,Group Stage,Belgium,Egypt,team_a_win,5,,,,
15.0,Group Stage,Saudi Arabia,Uruguay,team_a_win,5,,,,
16.0,Group Stage,Iran,New Zealand,team_a_win,5,,,,
17.0,Group Stage,France,Senegal,team_a_win,5,,,,
19.0,Group Stage,Argentina,Algeria,team_a_win,5,,,,
20.0,Group Stage,Austria,Jordan,draw,5,,,,
22.0,Group Stage,England,Croatia,team_a_loss,5,,,,
23.0,Group Stage,Ghana,Panama,team_a_win,5,,,,
24.0,Group Stage,Uzbekistan,Colombia,team_a_loss,5,,,,
27.0,Group Stage,Canada,Qatar,team_a_win,5,,,,
28.0,Group Stage,Mexico,South Korea,team_a_win,5,,,,
29.0,Group Stage,United States,Australia,team_a_loss,5,,,,
30.0,Group Stage,Scotland,Morocco,team_a_loss,5,,,,
31.0,Group Stage,Brazil,Haiti,team_a_win,5,,,,
34.0,Group Stage,Germany,Ivory Coast,team_a_loss,5,,,,
35.0,Group Stage,Ecuador,Curaçao,team_a_win,5,,,,
36.0,Group Stage,Tunisia,Japan,team_a_win,5,,,,
37.0,Group Stage,Spain,Saudi Arabia,team_a_win,5,,,,
38.0,Group Stage,Belgium,Iran,team_a_loss,5,,,,
40.0,Group Stage,New Zealand,Egypt,team_a_loss,5,,,,
41.0,Group Stage,Argentina,Austria,draw,5,,,,
43.0,Group Stage,Norway,Senegal,team_a_loss,5,,,,
44.0,Group Stage,Jordan,Algeria,team_a_win,5,,,,
45.0,Group Stage,Portugal,Uzbekistan,team_a_win,5,,,,
46.0,Group Stage,England,Ghana,team_a_win,5,,,,
47.0,Group Stage,Panama,Croatia,team_a_loss,5,,,,
49.0,Group Stage,Switzerland,Canada,team_a_win,5,,,,
51.0,Group Stage,Scotland,Brazil,draw,5,,,,
52.0,Group Stage,Morocco,Haiti,team_a_win,5,,,,
54.0,Group Stage,South Africa,South Korea,team_a_win,5,,,,
55.0,Group Stage,Curaçao,Ivory Coast,team_a_loss,5,,,,
56.0,Group Stage,Ecuador,Germany,team_a_loss,5,,,,
58.0,Group Stage,Tunisia,Netherlands,team_a_loss,5,,,,
60.0,Group Stage,Paraguay,Australia,team_a_loss,5,,,,
61.0,Group Stage,Norway,France,team_a_loss,5,,,,
